,roll_no,name,exam1,exam2,final_exam,class,obtain,total,per,grades
59,SMIT/DSAI/060,Sara Brown,10,9,21,DSAI,40,100,40.0,C
60,SMIT/DSAI/061,Sara Johnson,11,7,2,DSAI,20,100,20.0,F
61,SMIT/DSAI/062,Ali Khan,22,1,47,DSAI,70,100,70.0,B
62,SMIT/DSAI/063,Sara Smith,3,9,32,DSAI,44,100,44.0,C
63,SMIT/DSAI/064,Ahmed Zahid,10,5,46,DSAI,61,100,61.0,B
64,SMIT/DSAI/065,Michael Iqbal,6,18,46,DSAI,70,100,70.0,B
65,SMIT/DSAI/066,Fatima Brown,23,23,1,DSAI,47,100,47.0,C
66,SMIT/DSAI/067,Sara Smith,14,21,49,DSAI,84,100,84.0,A
67,SMIT/DSAI/068,Michael Ahmed,24,24,14,DSAI,62,100,62.0,B
68,SMIT/DSAI/069,Sara Malik,18,8,6,DSAI,32,100,32.0,F
69,SMIT/DSAI/070,Michael Iqbal,9,5,22,DSAI,36,100,36.0,F
70,SMIT/DSAI/071,Ayesha Iqbal,12,20,39,DSAI,71,100,71.0,B
71,SMIT/DSAI/072,John Hussain,3,9,1,DSAI,13,100,13.0,F
72,SMIT/DSAI/073,Noor Ali,7,13,1,DSAI,21,100,21.0,F
73,SMIT/DSAI/074,Ahmed Smith,24,15,48,DSAI,87,100,87.0,A
74,SMIT/DSAI/075,Ayesha Iqbal,7,25,22,DSAI,54,100,54.0,C
75,SMIT/DSAI/076,Sara Smith,15,18,41,DSAI,74,100,74.0,B
76,SMIT/DSAI/077,Hina Malik,12,23,33,DSAI,68,100,68.0,B
77,SMIT/DSAI/078,Michael Khan,17,13,40,DSAI,70,100,70.0,B
78,SMIT/DSAI/079,Hina Ali,4,12,35,DSAI,51,100,51.0,C
79,SMIT/DSAI/080,Noor Ahmed,2,11,45,DSAI,58,100,57.99999999999999,C
80,SMIT/DSAI/081,David Zahid,0,6,14,DSAI,20,100,20.0,F
81,SMIT/DSAI/082,Ali Iqbal,3,3,36,DSAI,42,100,42.0,C
82,SMIT/DSAI/083,Ahmed Ali,14,17,45,DSAI,76,100,76.0,B
83,SMIT/DSAI/084,Ayesha Brown,5,18,12,DSAI,35,100,35.0,F
84,SMIT/DSAI/085,Hina Smith,17,19,1,DSAI,37,100,37.0,F
85,SMIT/DSAI/086,Hina Ali,13,5,35,DSAI,53,100,53.0,C
86,SMIT/DSAI/087,Michael Khan,8,23,30,DSAI,61,100,61.0,B
87,SMIT/DSAI/088,Noor Iqbal,11,0,9,DSAI,20,100,20.0,F
88,SMIT/DSAI/089,Ahmed Johnson,6,6,2,DSAI,14,100,14.000000000000002,F
89,SMIT/DSAI/090,Michael Hussain,9,25,34,DSAI,68,100,68.0,B
90,SMIT/DSAI/091,Noor Johnson,6,0,26,DSAI,32,100,32.0,F
91,SMIT/DSAI/092,Ahmed Malik,4,8,35,DSAI,47,100,47.0,C
92,SMIT/DSAI/093,Noor Smith,24,15,12,DSAI,51,100,51.0,C
93,SMIT/DSAI/094,Ali Johnson,21,4,7,DSAI,32,100,32.0,F
94,SMIT/DSAI/095,Ahmed Zahid,21,22,11,DSAI,54,100,54.0,C
95,SMIT/DSAI/096,John Malik,4,18,50,DSAI,72,100,72.0,B
96,SMIT/DSAI/097,Ahmed Smith,7,14,9,DSAI,30,100,30.0,F
97,SMIT/DSAI/098,Ahmed Ali,9,13,33,DSAI,55,100,55.00000000000001,C
98,SMIT/DSAI/099,Ahmed Khan,24,4,39,DSAI,67,100,67.0,B
99,SMIT/DSAI/100,Noor Zahid,22,14,22,DSAI,58,100,57.99999999999999,C
100,SMIT/DM/001,Noor Hussain,15,8,34,DM,57,100,56.99999999999999,C
101,SMIT/DM/002,Fatima Ahmed,17,14,2,DM,33,100,33.0,F
102,SMIT/DM/003,David Johnson,16,4,41,DM,61,100,61.0,B
103,SMIT/DM/004,Michael Khan,21,18,21,DM,60,100,60.0,B
104,SMIT/DM/005,Noor Malik,22,23,33,DM,78,100,78.0,B
105,SMIT/DM/006,Hina Johnson,2,17,17,DM,36,100,36.0,F
106,SMIT/DM/007,Sara Khan,4,22,21,DM,47,100,47.0,C
107,SMIT/DM/008,David Ali,2,4,9,DM,15,100,15.0,F
108,SMIT/DM/009,Sara Iqbal,19,17,49,DM,85,100,85.0,A
109,SMIT/DM/010,Ayesha Zahid,21,12,42,DM,75,100,75.0,B
110,SMIT/DM/011,Ayesha Zahid,13,19,28,DM,60,100,60.0,B
111,SMIT/DM/012,Sara Smith,15,22,33,DM,70,100,70.0,B
112,SMIT/DM/013,David Smith,5,14,40,DM,59,100,59.0,C
113,SMIT/DM/014,Ahmed Khan,1,23,29,DM,53,100,53.0,C
114,SMIT/DM/015,Hina Zahid,13,25,36,DM,74,100,74.0,B
115,SMIT/DM/016,David Johnson,24,11,17,DM,52,100,52.0,C
116,SMIT/DM/017,Ayesha Johnson,21,12,1,DM,34,100,34.0,F
117,SMIT/DM/018,Sara Ahmed,20,2,29,DM,51,100,51.0,C
118,SMIT/DM/019,Ayesha Johnson,12,1,49,DM,62,100,62.0,B
119,SMIT/DM/020,Michael Ahmed,20,0,1,DM,21,100,21.0,F
120,SMIT/DM/021,Ahmed Malik,19,17,34,DM,70,100,70.0,B
121,SMIT/DM/022,Michael Ahmed,8,1,24,DM,33,100,33.0,F
122,SMIT/DM/023,Fatima Malik,1,18,35,DM,54,100,54.0,C
123,SMIT/DM/024,Hina Hussain,24,16,5,DM,45,100,45.0,C
124,SMIT/DM/025,Hina Hussain,6,19,37,DM,62,100,62.0,B
125,SMIT/DM/026,John Khan,13,15,4,DM,32,100,32.0,F
126,SMIT/DM/027,Michael Zahid,21,0,10,DM,31,100,31.0,F
127,SMIT/DM/028,Fatima Hussain,12,6,21,DM,39,100,39.0,F
128,SMIT/DM/029,David Johnson,9,20,33,DM,62,100,62.0,B
129,SMIT/DM/030,Sara Ali,25,4,37,DM,66,100,66.0,B
130,SMIT/DM/031,John Iqbal,13,3,24,DM,40,100,40.0,C
131,SMIT/DM/032,Hina Ali,17,21,39,DM,77,100,77.0,B
132,SMIT/DM/033,Fatima Iqbal,10,6,50,DM,66,100,66.0,B
133,SMIT/DM/034,Ayesha Iqbal,22,19,40,DM,81,100,81.0,A
134,SMIT/DM/035,John Johnson,24,16,22,DM,62,100,62.0,B
135,SMIT/DM/036,David Iqbal,24,0,23,DM,47,100,47.0,C
136,SMIT/DM/037,Noor Smith,5,1,29,DM,35,100,35.0,F
137,SMIT/DM/038,John Zahid,14,13,46,DM,73,100,73.0,B
138,SMIT/DM/039,Sara Hussain,24,13,34,DM,71,100,71.0,B
139,SMIT/DM/040,Fatima Malik,20,25,2,DM,47,100,47.0,C
140,SMIT/DM/041,John Iqbal,3,21,44,DM,68,100,68.0,B
141,SMIT/DM/042,Noor Iqbal,20,23,3,DM,46,100,46.0,C
142,SMIT/DM/043,Sara Iqbal,5,3,6,DM,14,100,14.000000000000002,F
143,SMIT/DM/044,Hina Hussain,10,24,42,DM,76,100,76.0,B
144,SMIT/DM/045,Noor Iqbal,16,12,34,DM,62,100,62.0,B
145,SMIT/DM/046,Ahmed Zahid,12,18,44,DM,74,100,74.0,B
146,SMIT/DM/047,David Ahmed,17,23,43,DM,83,100,83.0,A
147,SMIT/DM/048,Fatima Malik,19,5,33,DM,57,100,56.99999999999999,C
148,SMIT/DM/049,Ayesha Brown,15,9,13,DM,37,100,37.0,F
149,SMIT/DM/050,Sara Smith,17,6,47,DM,70,100,70.0,B
150,SMIT/DM/051,David Khan,10,5,45,DM,60,100,60.0,B
151,SMIT/DM/052,Ali Hussain,8,22,17,DM,47,100,47.0,C
152,SMIT/DM/053,Noor Brown,7,20,40,DM,67,100,67.0,B
153,SMIT/DM/054,Ali Brown,13,12,9,DM,34,100,34.0,F
154,SMIT/DM/055,Hina Brown,3,6,1,DM,10,100,10.0,F
155,SMIT/DM/056,Hina Zahid,12,24,1,DM,37,100,37.0,F
156,SMIT/DM/057,John Malik,6,8,41,DM,55,100,55.00000000000001,C
157,SMIT/DM/058,Sara Iqbal,8,23,4,DM,35,100,35.0,F
158,SMIT/DM/059,Michael Ahmed,12,7,36,DM,55,100,55.00000000000001,C
159,SMIT/DM/060,Sara Khan,2,23,34,DM,59,100,59.0,C
160,SMIT/DM/061,Hina Ali,16,16,30,DM,62,100,62.0,B
161,SMIT/DM/062,Noor Ali,11,20,27,DM,58,100,57.99999999999999,C
162,SMIT/DM/063,Ayesha Malik,17,13,29,DM,59,100,59.0,C
163,SMIT/DM/064,Michael Johnson,6,14,13,DM,33,100,33.0,F
164,SMIT/DM/065,Ayesha Khan,21,2,48,DM,71,100,71.0,B
165,SMIT/DM/066,John Hussain,5,15,6,DM,26,100,26.0,F
166,SMIT/DM/067,John Iqbal,6,2,31,DM,39,100,39.0,F
167,SMIT/DM/068,Ahmed Hussain,7,17,13,DM,37,100,37.0,F
168,SMIT/DM/069,John Malik,23,2,3,DM,28,100,28.000000000000004,F
169,SMIT/DM/070,Hina Iqbal,8,24,6,DM,38,100,38.0,F
170,SMIT/DM/071,Michael Brown,21,16,11,DM,48,100,48.0,C
171,SMIT/DM/072,Ali Zahid,3,19,14,DM,36,100,36.0,F
172,SMIT/DM/073,Ali Brown,5,11,18,DM,34,100,34.0,F
173,SMIT/DM/074,Fatima Ahmed,25,13,10,DM,48,100,48.0,C
174,SMIT/DM/075,Noor Malik,4,8,2,DM,14,100,14.000000000000002,F
175,SMIT/DM/076,Ahmed Johnson,15,17,10,DM,42,100,42.0,C
176,SMIT/DM/077,Hina Brown,3,12,5,DM,20,100,20.0,F
177,SMIT/DM/078,Sara Khan,0,12,13,DM,25,100,25.0,F
178,SMIT/DM/079,Hina Ahmed,11,25,11,DM,47,100,47.0,C
179,SMIT/DM/080,Ali Malik,10,18,39,DM,67,100,67.0,B
180,SMIT/DM/081,Ayesha Johnson,18,18,44,DM,80,100,80.0,A
181,SMIT/DM/082,David Khan,9,24,29,DM,62,100,62.0,B
182,SMIT/DM/083,Fatima Ali,19,4,30,DM,53,100,53.0,C
183,SMIT/DM/084,Hina Brown,25,13,2,DM,40,100,40.0,C
184,SMIT/DM/085,David Malik,10,25,50,DM,85,100,85.0,A
185,SMIT/DM/086,Ali Ahmed,20,9,34,DM,63,100,63.0,B
186,SMIT/DM/087,David Ahmed,12,25,16,DM,53,100,53.0,C
187,SMIT/DM/088,Sara Smith,6,12,7,DM,25,100,25.0,F
188,SMIT/DM/089,David Hussain,24,6,19,DM,49,100,49.0,C
189,SMIT/DM/090,Noor Zahid,4,22,15,DM,41,100,41.0,C
190,SMIT/DM/091,Noor Johnson,20,24,21,DM,65,100,65.0,B
191,SMIT/DM/092,Michael Iqbal,24,3,30,DM,57,100,56.99999999999999,C
192,SMIT/DM/093,Hina Khan,0,21,25,DM,46,100,46.0,C
193,SMIT/DM/094,Michael Smith,7,25,50,DM,82,100,82.0,A
194,SMIT/DM/095,Ayesha Smith,14,21,2,DM,37,100,37.0,F
195,SMIT/DM/096,Ayesha Brown,9,17,21,DM,47,100,47.0,C
196,SMIT/DM/097,Ayesha Iqbal,10,3,11,DM,24,100,24.0,F
197,SMIT/DM/098,Ayesha Ahmed,12,17,45,DM,74,100,74.0,B
198,SMIT/DM/099,Hina Hussain,17,19,41,DM,77,100,77.0,B
199,SMIT/DM/100,Fatima Ali,22,16,34,DM,72,100,72.0,B
200,SMIT/UIUX/001,Fatima Brown,22,16,42,UIUX,80,100,80.0,A
201,SMIT/UIUX/002,Fatima Hussain,20,11,34,UIUX,65,100,65.0,B
202,SMIT/UIUX/003,Michael Hussain,16,11,7,UIUX,34,100,34.0,F
203,SMIT/UIUX/004,John Ahmed,21,14,48,UIUX,83,100,83.0,A
204,SMIT/UIUX/005,Ali Johnson,13,13,20,UIUX,46,100,46.0,C
205,SMIT/UIUX/006,Michael Ahmed,0,14,1,UIUX,15,100,15.0,F
206,SMIT/UIUX/007,Sara Johnson,7,7,22,UIUX,36,100,36.0,F
207,SMIT/UIUX/008,Noor Zahid,17,5,14,UIUX,36,100,36.0,F
208,SMIT/UIUX/009,John Khan,13,4,41,UIUX,58,100,57.99999999999999,C
209,SMIT/UIUX/010,Ayesha Ali,15,22,23,UIUX,60,100,60.0,B
210,SMIT/UIUX/011,Ahmed Hussain,15,4,41,UIUX,60,100,60.0,B
211,SMIT/UIUX/012,Ahmed Brown,0,5,37,UIUX,42,100,42.0,C
212,SMIT/UIUX/013,Ali Brown,1,17,42,UIUX,60,100,60.0,B
213,SMIT/UIUX/014,Ayesha Smith,25,7,0,UIUX,32,100,32.0,F
214,SMIT/UIUX/015,Sara Khan,20,13,16,UIUX,49,100,49.0,C
215,SMIT/UIUX/016,Ali Khan,15,17,0,UIUX,32,100,32.0,F
216,SMIT/UIUX/017,John Ahmed,11,14,26,UIUX,51,100,51.0,C
217,SMIT/UIUX/018,Fatima Hussain,12,21,5,UIUX,38,100,38.0,F
218,SMIT/UIUX/019,Fatima Hussain,8,15,24,UIUX,47,100,47.0,C
219,SMIT/UIUX/020,Hina Zahid,18,3,50,UIUX,71,100,71.0,B
220,SMIT/UIUX/021,Ahmed Ahmed,14,12,47,UIUX,73,100,73.0,B
221,SMIT/UIUX/022,David Ali,12,7,42,UIUX,61,100,61.0,B
222,SMIT/UIUX/023,Ayesha Johnson,10,14,41,UIUX,65,100,65.0,B
223,SMIT/UIUX/024,Hina Zahid,16,1,49,UIUX,66,100,66.0,B
224,SMIT/UIUX/025,Noor Hussain,1,14,4,UIUX,19,100,19.0,F
225,SMIT/UIUX/026,Noor Ali,11,23,44,UIUX,78,100,78.0,B
226,SMIT/UIUX/027,Hina Johnson,25,14,5,UIUX,44,100,44.0,C
227,SMIT/UIUX/028,Ayesha Zahid,25,22,14,UIUX,61,100,61.0,B
228,SMIT/UIUX/029,David Iqbal,22,7,23,UIUX,52,100,52.0,C
229,SMIT/UIUX/030,David Khan,0,25,4,UIUX,29,100,28.999999999999996,F
230,SMIT/UIUX/031,Ayesha Malik,17,16,40,UIUX,73,100,73.0,B
231,SMIT/UIUX/032,Fatima Ali,12,2,27,UIUX,41,100,41.0,C
232,SMIT/UIUX/033,Ayesha Smith,21,22,49,UIUX,92,100,92.0,A
233,SMIT/UIUX/034,Ali Iqbal,18,2,0,UIUX,20,100,20.0,F
234,SMIT/UIUX/035,Ayesha Hussain,7,11,40,UIUX,58,100,57.99999999999999,C
235,SMIT/UIUX/036,Ahmed Iqbal,22,1,45,UIUX,68,100,68.0,B
236,SMIT/UIUX/037,Fatima Hussain,9,18,2,UIUX,29,100,28.999999999999996,F
237,SMIT/UIUX/038,David Johnson,5,20,6,UIUX,31,100,31.0,F
238,SMIT/UIUX/039,Hina Khan,7,12,30,UIUX,49,100,49.0,C
239,SMIT/UIUX/040,Michael Zahid,4,17,28,UIUX,49,100,49.0,C
240,SMIT/UIUX/041,David Johnson,24,18,29,UIUX,71,100,71.0,B
241,SMIT/UIUX/042,Noor Smith,1,8,26,UIUX,35,100,35.0,F
242,SMIT/UIUX/043,David Ahmed,11,1,33,UIUX,45,100,45.0,C
243,SMIT/UIUX/044,Ahmed Brown,4,16,10,UIUX,30,100,30.0,F
244,SMIT/UIUX/045,David Smith,9,19,0,UIUX,28,100,28.000000000000004,F
245,SMIT/UIUX/046,Sara Smith,11,15,2,UIUX,28,100,28.000000000000004,F
246,SMIT/UIUX/047,Ahmed Johnson,24,14,0,UIUX,38,100,38.0,F
247,SMIT/UIUX/048,Ahmed Malik,24,9,39,UIUX,72,100,72.0,B
248,SMIT/UIUX/049,Ayesha Khan,10,2,20,UIUX,32,100,32.0,F
249,SMIT/UIUX/050,Hina Malik,14,0,26,UIUX,40,100,40.0,C
250,SMIT/UIUX/051,Sara Khan,1,0,17,UIUX,18,100,18.0,F
251,SMIT/UIUX/052,Noor Ali,24,4,0,UIUX,28,100,28.000000000000004,F
252,SMIT/UIUX/053,Fatima Hussain,9,25,22,UIUX,56,100,56.00000000000001,C
253,SMIT/UIUX/054,Hina Brown,13,20,44,UIUX,77,100,77.0,B
254,SMIT/UIUX/055,Noor Smith,17,4,25,UIUX,46,100,46.0,C
255,SMIT/UIUX/056,Michael Zahid,6,15,19,UIUX,40,100,40.0,C
256,SMIT/UIUX/057,Ahmed Khan,12,25,9,UIUX,46,100,46.0,C
257,SMIT/UIUX/058,John Smith,16,6,9,UIUX,31,100,31.0,F
258,SMIT/UIUX/059,Noor Johnson,11,10,28,UIUX,49,100,49.0,C
259,SMIT/UIUX/060,Ayesha Ahmed,18,23,9,UIUX,50,100,50.0,C
260,SMIT/UIUX/061,Ayesha Khan,8,12,30,UIUX,50,100,50.0,C
261,SMIT/UIUX/062,Sara Smith,0,13,19,UIUX,32,100,32.0,F
262,SMIT/UIUX/063,David Ali,1,9,33,UIUX,43,100,43.0,C
263,SMIT/UIUX/064,Ahmed Khan,7,15,2,UIUX,24,100,24.0,F
264,SMIT/UIUX/065,Ahmed Malik,20,1,24,UIUX,45,100,45.0,C
265,SMIT/UIUX/066,Michael Khan,9,14,46,UIUX,69,100,69.0,B
266,SMIT/UIUX/067,Fatima Khan,3,18,13,UIUX,34,100,34.0,F
267,SMIT/UIUX/068,Ayesha Malik,20,25,15,UIUX,60,100,60.0,B
268,SMIT/UIUX/069,Ali Ali,23,19,10,UIUX,52,100,52.0,C
269,SMIT/UIUX/070,Ahmed Malik,21,23,18,UIUX,62,100,62.0,B
270,SMIT/UIUX/071,Michael Khan,4,25,35,UIUX,64,100,64.0,B
271,SMIT/UIUX/072,Ahmed Ahmed,6,24,20,UIUX,50,100,50.0,C
272,SMIT/UIUX/073,David Smith,10,1,40,UIUX,51,100,51.0,C
273,SMIT/UIUX/074,John Johnson,11,6,18,UIUX,35,100,35.0,F
274,SMIT/UIUX/075,John Ali,0,24,3,UIUX,27,100,27.0,F
275,SMIT/UIUX/076,Fatima Khan,5,16,49,UIUX,70,100,70.0,B
276,SMIT/UIUX/077,Ahmed Ahmed,2,18,7,UIUX,27,100,27.0,F
277,SMIT/UIUX/078,Noor Zahid,5,15,42,UIUX,62,100,62.0,B
278,SMIT/UIUX/079,John Ali,14,15,46,UIUX,75,100,75.0,B
279,SMIT/UIUX/080,Fatima Brown,11,20,20,UIUX,51,100,51.0,C
280,SMIT/UIUX/081,Hina Khan,4,17,23,UIUX,44,100,44.0,C
281,SMIT/UIUX/082,Michael Malik,25,18,20,UIUX,63,100,63.0,B
282,SMIT/UIUX/083,Hina Zahid,21,2,6,UIUX,29,100,28.999999999999996,F
283,SMIT/UIUX/084,Michael Ahmed,22,4,10,UIUX,36,100,36.0,F
284,SMIT/UIUX/085,Ali Zahid,13,22,12,UIUX,47,100,47.0,C
285,SMIT/UIUX/086,Noor Hussain,3,7,30,UIUX,40,100,40.0,C
286,SMIT/UIUX/087,Sara Zahid,3,0,50,UIUX,53,100,53.0,C
287,SMIT/UIUX/088,John Ali,6,3,16,UIUX,25,100,25.0,F
288,SMIT/UIUX/089,Ali Brown,19,25,42,UIUX,86,100,86.0,A
289,SMIT/UIUX/090,Ayesha Johnson,8,25,40,UIUX,73,100,73.0,B
290,SMIT/UIUX/091,Fatima Smith,4,0,27,UIUX,31,100,31.0,F
291,SMIT/UIUX/092,Ahmed Zahid,22,24,44,UIUX,90,100,90.0,A
292,SMIT/UIUX/093,Ayesha Malik,13,8,17,UIUX,38,100,38.0,F
293,SMIT/UIUX/094,Hina Ahmed,23,1,40,UIUX,64,100,64.0,B
294,SMIT/UIUX/095,Ahmed Smith,16,8,16,UIUX,40,100,40.0,C
295,SMIT/UIUX/096,Ahmed Hussain,19,12,34,UIUX,65,100,65.0,B
296,SMIT/UIUX/097,John Khan,11,5,28,UIUX,44,100,44.0,C
297,SMIT/UIUX/098,John Brown,22,19,15,UIUX,56,100,56.00000000000001,C
298,SMIT/UIUX/099,Sara Ali,15,4,26,UIUX,45,100,45.0,C
299,SMIT/UIUX/100,Fatima Johnson,22,8,2,UIUX,32,100,32.0,F
300,SMIT/GD/001,Ali Johnson,12,22,15,GD,49,100,49.0,C
301,SMIT/GD/002,Noor Johnson,14,6,13,GD,33,100,33.0,F
302,SMIT/GD/003,John Johnson,9,13,15,GD,37,100,37.0,F
303,SMIT/GD/004,Ayesha Malik,23,25,27,GD,75,100,75.0,B
304,SMIT/GD/005,Hina Smith,19,8,11,GD,38,100,38.0,F
305,SMIT/GD/006,Hina Zahid,16,21,35,GD,72,100,72.0,B
306,SMIT/GD/007,Michael Ali,2,4,38,GD,44,100,44.0,C
307,SMIT/GD/008,John Khan,22,23,30,GD,75,100,75.0,B
308,SMIT/GD/009,Ali Zahid,23,14,5,GD,42,100,42.0,C
309,SMIT/GD/010,Hina Brown,21,5,40,GD,66,100,66.0,B
310,SMIT/GD/011,Noor Johnson,17,24,24,GD,65,100,65.0,B
311,SMIT/GD/012,Ahmed Zahid,13,17,29,GD,59,100,59.0,C
312,SMIT/GD/013,David Hussain,3,20,2,GD,25,100,25.0,F
313,SMIT/GD/014,Fatima Iqbal,15,1,12,GD,28,100,28.000000000000004,F
314,SMIT/GD/015,Sara Brown,20,25,4,GD,49,100,49.0,C
315,SMIT/GD/016,Michael Johnson,12,14,22,GD,48,100,48.0,C
316,SMIT/GD/017,Michael Ahmed,3,3,11,GD,17,100,17.0,F
317,SMIT/GD/018,Ahmed Johnson,20,10,30,GD,60,100,60.0,B
318,SMIT/GD/019,Hina Brown,19,17,7,GD,43,100,43.0,C
319,SMIT/GD/020,Noor Malik,8,8,1,GD,17,100,17.0,F
320,SMIT/GD/021,Ahmed Iqbal,6,16,5,GD,27,100,27.0,F
321,SMIT/GD/022,John Malik,16,3,3,GD,22,100,22.0,F
322,SMIT/GD/023,Sara Malik,3,10,9,GD,22,100,22.0,F
323,SMIT/GD/024,Hina Ali,23,15,48,GD,86,100,86.0,A
324,SMIT/GD/025,Michael Hussain,15,23,27,GD,65,100,65.0,B
325,SMIT/GD/026,David Smith,1,12,47,GD,60,100,60.0,B
326,SMIT/GD/027,Michael Johnson,18,14,40,GD,72,100,72.0,B
327,SMIT/GD/028,Ahmed Zahid,8,16,24,GD,48,100,48.0,C
328,SMIT/GD/029,Michael Malik,11,21,44,GD,76,100,76.0,B
329,SMIT/GD/030,Ayesha Hussain,17,15,24,GD,56,100,56.00000000000001,C
330,SMIT/GD/031,Ahmed Brown,6,10,5,GD,21,100,21.0,F
331,SMIT/GD/032,David Johnson,3,1,20,GD,24,100,24.0,F
332,SMIT/GD/033,Fatima Ali,13,9,50,GD,72,100,72.0,B
333,SMIT/GD/034,Ayesha Khan,21,4,45,GD,70,100,70.0,B
334,SMIT/GD/035,John Ahmed,20,9,23,GD,52,100,52.0,C
